title,authors,cover,summary,language,genres,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
"Dead and Gone (Sookie Stackhouse, #9)",['Charlaine Harris'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2009,,,,,,441017150,4.01
The Storyteller,['Jodi Picoult'],https://images.gr-assets.com/books/1356328634m/15753740.jpg,,eng,,,2013,,,,,,1439102767,4.26
"Obsidian (Lux, #1)",['Jennifer L. Armentrout'],https://images.gr-assets.com/books/1328275091m/12578077.jpg,,eng,,,2011,,,,,,1620610078,4.23
"Life, the Universe and Everything (Hitchhiker's Guide, #3)",['Douglas Adams'],https://images.gr-assets.com/books/1333577589m/8694.jpg,,eng,,,1982,,,,,,345418905,4.19
"Crown of Midnight (Throne of Glass, #2)",['Sarah J. Maas'],https://images.gr-assets.com/books/1391580481m/17167166.jpg,,en-CA,,,2013,,,,,,1619630621,4.49
"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life","[""Bryan Lee O'Malley""]",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2004,,,,,,1932664084,4.18
Half Broke Horses,['Jeannette Walls'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2008,,,,,,1416586288,4.05
"Mort (Death, #1; Discworld, #4)",['Terry Pratchett'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1987,,,,,,61020680,4.22
"The Iron King (The Iron Fey, #1)",['Julie Kagawa'],https://images.gr-assets.com/books/1327877670m/6644117.jpg,,eng,,,2010,,,,,,373210086,3.92
Lonesome Dove,['Larry McMurtry'],https://images.gr-assets.com/books/1378573063m/256008.jpg,,en-US,,,1985,,,,,,067168390X,4.47
Stiff: The Curious Lives of Human Cadavers,['Mary Roach'],https://images.gr-assets.com/books/1347656489m/32145.jpg,,eng,,,2003,,,,,,393324826,4.05
"Bloodlines (Bloodlines, #1)",['Richelle Mead'],https://images.gr-assets.com/books/1297199431m/8709527.jpg,,en-US,,,2011,,,,,,1595143173,4.22
"Ender's Shadow (Ender's Shadow, #1)",['Orson Scott Card'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1998,,,,,,765342405,4.3
Twenties Girl,['Sophie Kinsella'],https://images.gr-assets.com/books/1320544759m/6063187.jpg,,eng,,,2009,,,,,,385342020,3.82
Schindler's List,['Thomas Keneally'],https://images.gr-assets.com/books/1348163457m/375013.jpg,,eng,,,1982,,,,,,340606517,4.34
The Bluest Eye,['Toni Morrison'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1970,,,,,,452287065,3.99
"The White Queen (The Plantagenet and Tudor Novels, #2)",['Philippa Gregory'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2009,,,,,,1416563687,3.9
The Autobiography of Malcolm X,"['Malcolm X', 'Alex Haley']",https://images.gr-assets.com/books/1434682864m/92057.jpg,,eng,,,1965,,,,,,345350685,4.29
Preludes & Nocturnes (The Sandman #1),"['Neil Gaiman', 'Sam Kieth', 'Mike Dringenberg', 'Malcolm Jones III', 'Todd Klein', 'Karen  Berger']",https://images.gr-assets.com/books/1411609637m/23754.jpg,,eng,,,1989,,,,,,1563892278,4.3
Seabiscuit: An American Legend,['Laura Hillenbrand'],https://images.gr-assets.com/books/1171644213m/110737.jpg,,en-US,,,1999,,,,,,345465083,4.2
Shutter Island,['Dennis Lehane'],https://images.gr-assets.com/books/1329269081m/21686.jpg,,eng,,,2003,,,,,,038073186X,4.07
The Complete Sherlock Holmes,['Arthur Conan Doyle'],https://images.gr-assets.com/books/1465539139m/188572.jpg,,eng,,,1894,,,,,,553328255,4.5
Julius Caesar,"['William Shakespeare', 'Roma Gill']",https://images.gr-assets.com/books/1354574927m/13006.jpg,,eng,,,1599,,,,,,198320272,3.65
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",['Erik Larson'],https://images.gr-assets.com/books/1327864303m/9938498.jpg,,eng,,,2011,,,,,,307408841,3.81
The Republic,"['Plato', 'Desmond Lee']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,-380,,,,,,140449140,3.9
The Taming of the Shrew,['William Shakespeare'],https://images.gr-assets.com/books/1327935253m/47021.jpg,,en-US,,,1593,,,,,,074347757X,3.81
"Cress (The Lunar Chronicles, #3)",['Marissa Meyer'],https://images.gr-assets.com/books/1470057005m/13206828.jpg,,eng,,,2014,,,,,,312642970,4.46
Just Kids,['Patti Smith'],https://images.gr-assets.com/books/1259762407m/341879.jpg,,en-US,,,2010,,,,,,006621131X,4.14
The Art Book,['Phaidon Press'],https://images.gr-assets.com/books/1411210646m/567616.jpg,,eng,,,1997,,,,,,714836257,3.79
Jemima J,['Jane Green'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-US,,,2001,,,,,,767905180,3.62
The Hunchback of Notre-Dame,"['Victor Hugo', 'Walter J. Cobb']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1831,,,,,,451527887,3.97
A Fine Balance,['Rohinton Mistry'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1996,,,,,,140003065X,4.34
Calvin and Hobbes,"['Bill Watterson', 'G.B. Trudeau']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-US,,,1987,,,,,,836220889,4.61
"Specials (Uglies, #3)",['Scott Westerfeld'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2006,,,,,,689865406,3.77
The Awakening,['Kate Chopin'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1899,,,,,,543898083,3.63
"Hunted (House of Night, #5)","['P.C. Cast', 'Kristin Cast']",https://images.gr-assets.com/books/1438042897m/4134071.jpg,,eng,,,2009,,,,,,031237982X,3.93
For One More Day,['Mitch Albom'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-US,,,2006,,,,,,1401303277,4.09
"Clear and Present Danger (Jack Ryan Universe, #6)",['Tom Clancy'],https://images.gr-assets.com/books/1291440438m/32669.jpg,,eng,,,1989,,,,,,425144372,4.08
Falling Up,['Shel Silverstein'],https://images.gr-assets.com/books/1327871908m/30120.jpg,,en-US,,,1996,,,,,,60513098,4.33
Sh*t My Dad Says,['Justin Halpern'],https://images.gr-assets.com/books/1370399211m/7821447.jpg,,,,,2010,,,,,,61992704,3.98
Trainspotting,"['Irvine Welsh', 'Eric Lindor Fall']",https://images.gr-assets.com/books/1375258001m/23955.jpg,,fre,,,1993,,,,,,2020336464,4.07
Foundation and Empire (Foundation #2),['Isaac Asimov'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1952,,,,,,553803727,4.2
The Four Agreements: A Practical Guide to Personal Freedom,['Miguel Ruiz'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,,,1997,,,,,,1878424505,4.12
House Rules,['Jodi Picoult'],https://images.gr-assets.com/books/1290479868m/6614960.jpg,,en-US,,,2010,,,,,,743296435,4.01
The Complete Grimm's Fairy Tales,"['Jacob Grimm', 'Wilhelm Grimm', 'Josef Scharl', 'Padraic Colum', 'Joseph Campbell', 'Margaret Raine Hunt', 'James Stern']",https://images.gr-assets.com/books/1369540060m/22917.jpg,,eng,,,1812,,,,,,394709306,4.31
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,['E.L. Konigsburg'],https://images.gr-assets.com/books/1327784751m/3980.jpg,,eng,,,1967,,,,,,744583276,4.15
"Doctor Sleep (The Shining, #2)",['Stephen King'],https://images.gr-assets.com/books/1362415596m/16130549.jpg,,eng,,,2013,,,,,,1476727651,4.1
About a Boy,['Nick Hornby'],https://images.gr-assets.com/books/1382004144m/4271.jpg,,en-US,,,1998,,,,,,140285679,3.79
"On Dublin Street (On Dublin Street, #1)",['Samantha Young'],https://images.gr-assets.com/books/1490401910m/15760001.jpg,,eng,,,2012,,,,,,,4.24
Crazy Love: Overwhelmed by a Relentless God,"['Francis Chan', 'Danae Yankoski', 'Chris Tomlin']",https://images.gr-assets.com/books/1328763220m/3206011.jpg,,eng,,,2008,,,,,,1434768511,4.15
"One Fish, Two Fish, Red Fish, Blue Fish",['Dr. Seuss'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,,,1960,,,,,,7173687,4.12
Watchers,['Dean Koontz'],https://images.gr-assets.com/books/1308458930m/32423.jpg,,,,,1987,,,,,,,4.16
The Story of My Life,['Helen Keller'],https://images.gr-assets.com/books/1320429331m/821611.jpg,,eng,,,1902,,,,,,553213873,4.07
This is Where I Leave You,['Jonathan Tropper'],https://images.gr-assets.com/books/1467397162m/6224935.jpg,,eng,,,2009,,,,,,052595127X,3.88
Abraham Lincoln: Vampire Hunter,['Seth Grahame-Smith'],https://images.gr-assets.com/books/1291165397m/7108001.jpg,,en-US,,,2010,,,,,,446563080,3.7
"Fruits Basket, Vol. 1","['Natsuki Takaya', 'Alethea Nibley', 'Athena Nibley']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1999,,,,,,1591826039,4.23
The Tempest,['William Shakespeare'],https://images.gr-assets.com/books/1327793692m/12985.jpg,,en-US,,,1623,,,,,,743482832,3.8
"Burned (House of Night, #7)","['P.C. Cast', 'Kristin Cast']",https://images.gr-assets.com/books/1327944437m/6917952.jpg,,eng,,,2010,,,,,,1905654944,3.98
"Wizard and Glass (The Dark Tower, #4)","['Stephen King', 'Dave McKean']",https://images.gr-assets.com/books/1327946510m/5096.jpg,,eng,,,1997,,,,,,340829788,4.24
The Circle,['Dave Eggers'],https://images.gr-assets.com/books/1376419833m/18302455.jpg,,eng,,,2013,,,,,,385351399,3.46
The Invention of Hugo Cabret,['Brian Selznick'],https://images.gr-assets.com/books/1422312376m/9673436.jpg,,eng,,,2007,,,,,,439813786,4.23
Brave New World / Brave New World Revisited,"['Aldous Huxley', 'Christopher Hitchens']",https://images.gr-assets.com/books/1331315450m/5479.jpg,,eng,,,1932,,,,,,60776099,4.16
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club, #1)",['Bisco Hatori'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2003,,,,,,1591169151,4.36
The Good Girl,['Mary Kubica'],https://images.gr-assets.com/books/1388340126m/18812405.jpg,,eng,,,2014,,,,,,778316556,3.81
"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",['Abbi Glines'],https://images.gr-assets.com/books/1349565157m/16070903.jpg,,eng,,,2012,,,,,,,4.21
Landline,['Rainbow Rowell'],https://images.gr-assets.com/books/1499378092m/18081809.jpg,,eng,,,2014,,,,,,1250049377,3.55
"Tempted (House of Night, #6)","['P.C. Cast', 'Kristin Cast']",https://images.gr-assets.com/books/1408633041m/6262365.jpg,,eng,,,2008,,,,,,1905654588,3.96
No Country for Old Men,['Cormac McCarthy'],https://images.gr-assets.com/books/1443231179m/12497.jpg,,eng,,,2005,,,,,,375706674,4.12
"Wolf Hall (Thomas Cromwell, #1)",['Hilary Mantel'],https://images.gr-assets.com/books/1336576165m/6101138.jpg,,eng,,,2009,,,,,,7230206,3.85
"Howl's Moving Castle (Howl's Moving Castle, #1)",['Diana Wynne Jones'],https://images.gr-assets.com/books/1407450489m/6294.jpg,,eng,,,1986,,,,,,006441034X,4.3
Dreamcatcher,"['Stephen King', 'William Olivier Desmond']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,fre,,,2001,,,,,,2226131906,3.59
Walden,['Henry David Thoreau'],https://images.gr-assets.com/books/1465675526m/16902.jpg,,eng,,,1854,,,,,,691096120,3.79
The Remains of the Day,['Kazuo Ishiguro'],https://images.gr-assets.com/books/1327128714m/28921.jpg,,eng,,,1989,,,,,,571225381,4.1
The Best of Me,['Nicholas Sparks'],https://images.gr-assets.com/books/1301685366m/10766509.jpg,,en-US,,,2010,,,,,,446547654,3.91
The Sense of an Ending,['Julian Barnes'],https://images.gr-assets.com/books/1311704453m/10746542.jpg,,eng,,,2011,,,,,,224094157,3.7
"A is for Alibi (Kinsey Millhone, #1)",['Sue Grafton'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-US,,,1982,,,,,,312938993,3.82
"Oedipus Rex  (The Theban Plays, #1)","['Sophocles', 'J.E. Thomas']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,-430,,,,,,1580495931,3.67
Shanghai Girls (Shanghai Girls #1),['Lisa See'],https://images.gr-assets.com/books/1327968416m/5960325.jpg,,eng,,,2009,,,,,,1400067111,3.87
The Wind in the Willows,"['Kenneth Grahame', 'Gillian Avery']",https://images.gr-assets.com/books/1423183570m/5659.jpg,,eng,,,1908,,,,,,143039091,3.98
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",['Jenny Han'],https://images.gr-assets.com/books/1372086100m/15749186.jpg,,eng,,,2014,,,,,,,4.11
"Persepolis: The Story of a Childhood (Persepolis, #1)","['Marjane Satrapi', 'Mattias Ripa']",https://images.gr-assets.com/books/1425871473m/9516.jpg,,eng,,,2000,,,,,,037571457X,4.23
A Room with a View,['E.M. Forster'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1908,,,,,,1420925431,3.91
The DUFF: Designated Ugly Fat Friend,['Kody Keplinger'],https://images.gr-assets.com/books/1271108843m/6931356.jpg,,en-US,,,2010,,,,,,316084239,3.86
Lock and Key,['Sarah Dessen'],https://images.gr-assets.com/books/1479691949m/1295102.jpg,,eng,,,2008,,,,,,067001088X,4.01
"Naked in Death (In Death, #1)",['J.D. Robb'],https://images.gr-assets.com/books/1297783540m/268602.jpg,,en-US,,,1995,,,,,,399151575,4.13
The Chamber,['John Grisham'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1994,,,,,,385339666,3.76
"Midnight Sun (Twilight, #1.5)",['Stephenie Meyer'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2008,,,,,,,4.03
"Naruto, Vol. 01: The Tests of the Ninja (Naruto, #1)","['Masashi Kishimoto', 'Katy Bridges']",https://images.gr-assets.com/books/1435524806m/204042.jpg,,eng,,,1999,,,,,,1569319006,4.35
"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",['Rachel Joyce'],https://images.gr-assets.com/books/1335816092m/13227454.jpg,,eng,,,2012,,,,,,812993292,3.89
"Every Day (Every Day, #1)",['David Levithan'],https://images.gr-assets.com/books/1356993940m/13262783.jpg,,eng,,,2012,,,,,,307931889,3.99
"Xenocide (Ender's Saga, #3)",['Orson Scott Card'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1991,,,,,,312861877,3.77
The Merchant of Venice,"['William Shakespeare', 'Robert          Jackson', 'Barbara A. Mowat', 'Paul Werstine']",https://images.gr-assets.com/books/1327871054m/24128.jpg,,eng,,,1596,,,,,,743477561,3.78
"Shōgun (Asian Saga, #1)",['James Clavell'],https://images.gr-assets.com/books/1397228842m/402093.jpg,,eng,,,1975,,,,,,440178002,4.37
"Lover Awakened (Black Dagger Brotherhood, #3)",['J.R. Ward'],https://images.gr-assets.com/books/1388773547m/42900.jpg,,eng,,,2006,,,,,,451219368,4.45
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",['Sarah J. Maas'],https://images.gr-assets.com/books/1491595796m/16096824.jpg,,eng,,,2015,,,,,,1619634449,4.29
"Fifty Shades Trilogy (Fifty Shades, #1-3)",['E.L. James'],https://images.gr-assets.com/books/1431573483m/13584236.jpg,,,,,2012,,,,,,345803574,4.13
Chicka Chicka Boom Boom,"['Bill Martin Jr.', 'John Archambault', 'Lois Ehlert']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1989,,,,,,068983568X,4.21
Smile,['Raina Telgemeier'],https://images.gr-assets.com/books/1438206850m/6393631.jpg,,eng,,,2009,,,,,,545132053,4.19
Animal Farm / 1984,"['George Orwell', 'Christopher Hitchens']",https://images.gr-assets.com/books/1327959366m/5472.jpg,,eng,,,1950,,,,,,151010269,4.26
"The Deep End of the Ocean (Cappadora Family, #1)",['Jacquelyn Mitchard'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-US,,,1996,,,,,,140286276,3.84
The Bonesetter's Daughter,['Amy Tan'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-US,,,2001,,,,,,345457374,3.98
"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",['Louise Rennison'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1999,,,,,,60288140,3.74
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",['Robin Sloan'],https://images.gr-assets.com/books/1345089845m/13538873.jpg,,eng,,,2012,,,,,,374214913,3.75
"Flowers in the Attic (Dollanganger, #1)",['V.C. Andrews'],https://images.gr-assets.com/books/1327880853m/43448.jpg,,eng,,,1979,,,,,,743496310,3.79
When Breath Becomes Air,"['Paul Kalanithi', 'Abraham Verghese']",https://images.gr-assets.com/books/1492677644m/25899336.jpg,,eng,,,2016,,,,,,,4.32
Maniac Magee,['Jerry Spinelli'],https://images.gr-assets.com/books/1395884800m/139463.jpg,,eng,,,1990,,,,,,590452037,3.86
Invisible Monsters,['Chuck Palahniuk'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1999,,,,,,99285444,4.0
Twelfth Night,['William Shakespeare'],https://images.gr-assets.com/books/1416628008m/1625.jpg,,eng,,,1601,,,,,,743482778,3.97
"Gathering Blue (The Giver, #2)",['Lois Lowry'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2000,,,,,,385732562,3.8
The Westing Game,['Ellen Raskin'],https://images.gr-assets.com/books/1356850909m/902.jpg,,eng,,,1978,,,,,,014240120X,4.03
"Red Rising (Red Rising, #1)",['Pierce Brown'],https://images.gr-assets.com/books/1461354651m/15839976.jpg,,eng,,,2014,,,,,,345539788,4.26
"The Way of Shadows (Night Angel, #1)",['Brent Weeks'],https://images.gr-assets.com/books/1327881551m/3227063.jpg,,en-US,,,2008,,,,,,316033677,4.15
"The Bean Trees (Greer Family, #1)",['Barbara Kingsolver'],https://images.gr-assets.com/books/1443483961m/30868.jpg,,eng,,,1988,,,,,,812474945,3.94
"Walking Disaster (Beautiful, #2)",['Jamie McGuire'],https://images.gr-assets.com/books/1352338368m/15745950.jpg,,eng,,,2013,,,,,,1476712980,4.23
"Words of Radiance (The Stormlight Archive, #2)",['Brandon Sanderson'],https://images.gr-assets.com/books/1391535251m/17332218.jpg,,eng,,,2014,,,,,,765326361,4.77
Guess How Much I Love You,"['Sam McBratney', 'Anita Jeram']",https://images.gr-assets.com/books/1320457007m/301736.jpg,,en-US,,,1988,,,,,,076360013X,4.36
"The Fiery Cross (Outlander, #5)",['Diana Gabaldon'],https://images.gr-assets.com/books/1407366842m/10967.jpg,,eng,,,2001,,,,,,440221668,4.26
Night Shift,"['Stephen King', 'John D. MacDonald']",https://images.gr-assets.com/books/1342215309m/10628.jpg,,en-GB,,,1978,,,,,,450042685,3.96
Jaws,['Peter Benchley'],https://images.gr-assets.com/books/1327958767m/126232.jpg,,eng,,,1974,,,,,,1400064562,3.96
The History of Love,['Nicole Krauss'],https://images.gr-assets.com/books/1327911009m/3867.jpg,,eng,,,2005,,,,,,393328627,3.91
Pippi Longstocking,"['Astrid Lindgren', 'Lauren Child', 'Florence Lamborn', 'Nancy Seligsohn']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1945,,,,,,142402494,4.11
The Elegance of the Hedgehog,"['Muriel Barbery', 'Alison Anderson']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2006,,,,,,1933372605,3.73
Team of Rivals: The Political Genius of Abraham Lincoln,"['Doris Kearns Goodwin', 'Suzanne Toren']",https://images.gr-assets.com/books/1347278868m/2199.jpg,,eng,,,2005,,,,,,743270754,4.3
"Dead in the Family (Sookie Stackhouse, #10)",['Charlaine Harris'],https://images.gr-assets.com/books/1290479828m/7091488.jpg,,en-US,,,2010,,,,,,441018645,3.88
The Plague,"['Albert Camus', 'Stuart Gilbert']",https://images.gr-assets.com/books/1342837610m/11989.jpg,,en-US,,,1947,,,,,,679720219,3.97
"The Reptile Room (A Series of Unfortunate Events, #2)","['Lemony Snicket', 'Brett Helquist']",https://images.gr-assets.com/books/1352146294m/78418.jpg,,eng,,,1999,,,,,,439206480,3.95
Brain on Fire: My Month of Madness,['Susannah Cahalan'],https://images.gr-assets.com/books/1353173297m/13547180.jpg,,eng,,,2012,,,,,,145162137X,4.0
"Wicked Lovely (Wicked Lovely, #1)",['Melissa Marr'],https://images.gr-assets.com/books/1327814035m/305234.jpg,,en-US,,,2007,,,,,,61214655,3.69
Curious George,['H.A. Rey'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-CA,,,1941,,,,,,039515023X,4.13
The Neverending Story,"['Michael Ende', 'Ralph Manheim', 'Roswitha Quadflieg']",https://images.gr-assets.com/books/1327871159m/27712.jpg,,eng,,,1979,,,,,,525457585,4.17
A Beautiful Mind,['Sylvia Nasar'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-GB,,,1998,,,,,,571212921,4.12
The Jungle,"['Upton Sinclair', 'Earl Lee', 'Kathleen DeGrave']",https://images.gr-assets.com/books/1332140681m/41681.jpg,,eng,,,1906,,,,,,1884365302,3.72
"The Summoning (Darkest Powers, #1)",['Kelley Armstrong'],https://images.gr-assets.com/books/1478986944m/2800905.jpg,,en-US,,,2008,,,,,,61662690,4.03
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,['Oliver Sacks'],https://images.gr-assets.com/books/1447047702m/63697.jpg,,en-US,,,1985,,,,,,684853949,4.04
Eye of the Needle,['Ken Follett'],https://images.gr-assets.com/books/1327939511m/92364.jpg,,en-US,,,1978,,,,,,006074815X,4.16
The Blind Assassin,['Margaret Atwood'],https://images.gr-assets.com/books/1451445426m/78433.jpg,,eng,,,2000,,,,,,1860498809,3.95
"Hollow City (Miss Peregrine’s Peculiar Children, #2)",['Ransom Riggs'],https://images.gr-assets.com/books/1429175859m/23164983.jpg,,eng,,,2014,,,,,,1594747350,4.07
House of Sand and Fog,['Andre Dubus III'],https://images.gr-assets.com/books/1428883041m/359770.jpg,,eng,,,1999,,,,,,375727345,3.83
The Girl with All the Gifts,['M.R. Carey'],https://images.gr-assets.com/books/1403033579m/17235026.jpg,,eng,,,2014,,,,,,356500152,3.93
As I Lay Dying,['William Faulkner'],https://images.gr-assets.com/books/1451810782m/77013.jpg,,eng,,,1930,,,,,,067973225X,3.72
Harold and the Purple Crayon,['Crockett Johnson'],https://images.gr-assets.com/books/1327390957m/98573.jpg,,eng,,,1955,,,,,,747532036,4.24
"Lover Eternal (Black Dagger Brotherhood, #2)",['J.R. Ward'],https://images.gr-assets.com/books/1300845974m/35729.jpg,,eng,,,2006,,,,,,451218043,4.35
Second Foundation (Foundation #3),['Isaac Asimov'],https://images.gr-assets.com/books/1417900922m/29580.jpg,,eng,,,1953,,,,,,553803735,4.23
"Fool Moon (The Dresden Files, #2)",['Jim Butcher'],https://images.gr-assets.com/books/1345556849m/91477.jpg,,eng,,,2001,,,,,,451458125,4.04
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",['Malcolm Gladwell'],https://images.gr-assets.com/books/1391813567m/15751404.jpg,,eng,,,2011,,,,,,316204366,3.9
"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)","['Hiromu Arakawa', 'Akira Watanabe']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2002,,,,,,1591169208,4.49
"Guards! Guards! (Discworld, #8)",['Terry Pratchett'],https://images.gr-assets.com/books/1431127356m/64216.jpg,,eng,,,1989,,,,,,61020648,4.32
The Year of Magical Thinking,['Joan Didion'],https://images.gr-assets.com/books/1327878638m/7815.jpg,,eng,,,2005,,,,,,1400078431,3.86
We Need to Talk About Kevin,['Lionel Shriver'],https://images.gr-assets.com/books/1327865017m/80660.jpg,,eng,,,2003,,,,,,006112429X,4.07
"Rendezvous with Rama (Rama, #1)",['Arthur C. Clarke'],https://images.gr-assets.com/books/1405456427m/112537.jpg,,eng,,,1973,,,,,,1857231589,4.06
"The Queen of the Damned (The Vampire Chronicles, #3)",['Anne Rice'],https://images.gr-assets.com/books/1327871992m/43758.jpg,,eng,,,1988,,,,,,345419626,3.86
The Age of Innocence,"['Edith Wharton', 'Maureen Howard']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1920,,,,,,159308143X,3.93
The Selfish Gene,['Richard Dawkins'],https://images.gr-assets.com/books/1366758096m/61535.jpg,,eng,,,1976,,,,,,199291152,4.11
Year of Wonders,['Geraldine Brooks'],https://images.gr-assets.com/books/1327936622m/4965.jpg,,eng,,,2001,,,,,,142001430,4.0
"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",['Michael Connelly'],https://images.gr-assets.com/books/1344265342m/32508.jpg,,eng,,,1992,,,,,,446612731,4.08
Anthem,['Ayn Rand'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1938,,,,,,452281253,3.62
"Gabriel's Inferno (Gabriel's Inferno, #1)",['Sylvain Reynard'],https://images.gr-assets.com/books/1301789770m/10140661.jpg,,eng,,,2011,,,,,,1936305623,4.02
Cloudy With a Chance of Meatballs,"['Judi Barrett', 'Ron Barrett']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1978,,,,,,689707495,4.15
Major Pettigrew's Last Stand,['Helen Simonson'],https://images.gr-assets.com/books/1320539020m/6643090.jpg,,eng,,,2010,,,,,,1400068932,3.87
"Vision in White (Bride Quartet, #1)",['Nora Roberts'],https://images.gr-assets.com/books/1316972164m/5598113.jpg,,eng,,,2009,,,,,,425227510,4.1
The Tenth Circle,['Jodi Picoult'],https://images.gr-assets.com/books/1348575053m/10909.jpg,,eng,,,2006,,,,,,074349671X,3.48
"The Throne of Fire (Kane Chronicles, #2)",['Rick Riordan'],https://images.gr-assets.com/books/1366227973m/9067850.jpg,,eng,,,2011,,,,,,1423140567,4.2
